Institute Id,Institute Name,City,State,Score_2021,Rank_2021,TLR_2021,RPC_2021,GO_2021,OI_2021,Perception_2021,Score_2020,Rank_2020,TLR_2020,RPC_2020,GO_2020,OI_2020,Perception_2020,Score_2019,Rank_2019,TLR_2019,RPC_2019,GO_2019,OI_2019,Perception_2019
IR-O-U-0369,Pondicherry University,Puducherry,Pondicherry,43.1,87,39.94,30.1,72.4,58.18,17.89,44.48,81,45.97,28.85,73.14,58.52,15.54,44.88,72,47.92,26.63,73.31,59.3,19.25
IR-O-U-0530,Motilal Nehru National Institute of Technology,Prayagraj,Uttar Pradesh,43.04,88,47.86,28.49,67.68,54.77,11.06,42.87,93,51.75,26.38,66.33,52.1,9.58,,,,,,,
IR-O-C-16604,Sri Sivasubramaniya Nadar College of Engineering,Kancheepuram,Tamil Nadu,42.94,89,53.36,29.01,59.42,53.63,9.9,44.42,83,58.51,27.12,63.11,53.78,7.38,44.35,78,62.4,22.97,63.44,52.92,7.56
IR-O-U-0341,North Eastern Hill University,Shillong,Meghalaya,42.79,90,55.53,16.31,74.61,51.63,11.62,45.31,74,65.03,15.19,75.6,53.4,7.83,45.99,62,67.86,14.53,75.72,54.75,6.51
IR-O-U-0448,Bharathidasan University,Tiruchirappalli,Tamil Nadu,42.79,90,54.74,29.92,53.67,47.8,18.85,44.7,77,63.49,28.38,50.92,46.57,22.99,43.41,86,60.74,29.05,48.92,42.77,24.17
IR-O-U-0037,Sri Venkateswara University,Tirupati,Andhra Pradesh,42.78,92,51.21,19.87,79.19,50.61,5.57,46.14,68,61.83,21.53,76.24,48.81,10,44.88,72,62.46,23.6,69.63,44.79,6.51
IR-O-U-0055,National Institute of Technology Silchar,Silchar,Assam,42.68,93,47.28,32.31,64.18,52.84,6.85,42.76,94,52.19,28.42,64.18,52.18,5.06,,,,,,,
IR-O-N-10,SVKM`s Narsee Monjee Institute of Management Studies,Mumbai,Maharashtra,42.56,94,63.31,14.77,63.13,60.92,4.24,43.07,92,66.87,12.44,64.13,62.44,2.1,43.63,83,68.83,11.68,64.22,65.21,1.22
IR-O-U-0251,Calicut University,Malappuram,Kerala,42.42,95,63.32,16.64,63.32,54.77,2.88,44.71,76,66.18,17.39,69.3,53.19,4.58,42.22,90,56.32,16.46,71.53,53.45,7.22
IR-O-U-0318,Mumbai University,Mumbai,Maharashtra,41.79,96,49.58,19.08,78.35,47.78,7.48,42.45,95,48.08,20.84,77.97,53.61,8.27,,,,,,,
IR-O-U-0589,Visva Bharati,Santiniketan,West Bengal,41.74,97,49.51,26.16,73.81,36.58,6.22,45.95,69,58.41,27.29,75.58,40.84,10.42,46.27,59,60.65,26.07,74.79,41.39,11.52
IR-O-U-0149,Sardar Vallabhbhai National Institute of Technology,Surat,Gujarat,41.72,98,45.31,29.28,64.48,57.03,7.48,,,,,,,,,,,,,,
IR-O-U-0099,Guru Gobind Singh Indraprastha University,New Delhi,Delhi,41.43,99,48.12,22.64,64.22,52.45,21.15,,,,,,,,41.21,95,56.39,18.96,64.62,53.19,3.58
IR-O-U-0295,Datta Meghe Institute of Medical Sciences,Wardha,Maharashtra,41.1,100,64.06,10.35,60.07,66.19,1.46,42.24,97,73.22,7.13,60.79,59.68,0,41.73,92,75.46,3.16,60.57,59.48,0.82
